V-LIEF2410275 Allied Feather & Down Corporation - Geb. Verkaufslieferung																									
Art	Nr.	Virtuelle Partie	Beschreibung	Beschreibung 2	Lagerortcode	Menge	Säcke	Einheitencode	Menge fakturiert	Geplantes Lieferdatum	Geplantes Warenausgangsdatum	Warenausg.-Datum	Geschäftsbuchungsgruppe	VK-Preis	Währungscode	MwSt.-Geschäftsbuchungsgruppe									
Artikel	36223M	36223	GRS recycled grey down 75%	GRS RECYCLED GREY DOWN	ROHDEX	3.857,80	130,00	KG	3.857,80	8/30/2024	8/30/2024	8/30/2024	EXPORT	41,50	USD	EXPORT									
Artikel	36224M	36224	GRS recycled grey down 77-78%	GRS RECYCLED GREY DOWN	ROHDEX	3.801,80	129,00	KG	3.801,80	8/30/2024	8/30/2024	8/30/2024	EXPORT	45,50	USD	EXPORT									
																									
																									
			2410270																						
			ONEU 029438-6																						
			GW220489																						
			 NYK Romulus																						
