1,7/23/2024,16:16,36224,Anzahl,9,36224GRS,3.6,11,21,272.8,272.8
2,7/23/2024,16:22,36224,Anzahl,9,36224GRS,3.6,11,22,273.2,273.2
3,7/23/2024,16:25,36224,Anzahl,9,36224GRS,3.6,11,23,271.6,271.6
4,7/23/2024,16:27,36224,Anzahl,9,36224GRS,3.6,11,24,270.8,270.8
5,7/23/2024,16:32,36224,Anzahl,9,36224GRS,3.6,11,25,272.4,272.4
6,7/23/2024,16:34,36224,Anzahl,9,36224GRS,3.6,11,26,271.6,271.6
7,7/23/2024,16:37,36224,Anzahl,9,36224GRS,3.6,11,27,272,272
8,7/23/2024,17:00,36224,Anzahl,9,36224GRS,3.6,11,28,269.8,269.8
9,7/23/2024,17:03,36224,Anzahl,9,36224GRS,3.6,11,29,270,270
10,7/23/2024,17:07,36224,Anzahl,9,36224GRS,3.6,11,30,271.6,271.6
11,7/24/2024,8:57,36224,Anzahl,9,36224GRS,3.6,11,1,271.8,271.8
12,7/24/2024,9:00,36224,Anzahl,10,36224GRS,4,11,2,281,281
13,7/24/2024,9:04,36224,Anzahl,10,36224GRS,4,11,3,284.8,284.8
14,7/24/2024,9:08,36224,Anzahl,10,36224GRS,4,11,4,300,300
